altitude_m,distancia_proximo_m,id,id_original,inclinacao_percentual,lat,latitude,lon,longitude,origem,tipo
854.0,1380.574,78,78,-0.217,-22.5144822013433,-22.5144822013433,-43.1757760047913,-43.1757760047913,,no
851.0,590.437,79,79,-3.895,-22.5033466163685,-22.5033466163685,-43.1698322296143,-43.1698322296143,,no
828.0,1944.879,80,80,0.874,-22.5086324245494,-22.5086324245494,-43.1692850589752,-43.1692850589752,,no
845.0,2724.742,81,81,4.147,-22.5259687050438,-22.5259687050438,-43.1717956066132,-43.1717956066132,,no
958.0,3276.233,82,82,-3.998,-22.5223514204587,-22.5223514204587,-43.1980327590815,-43.1980327590815,,no
827.0,1056.737,83,83,-0.757,-22.508852573091,-22.508852573091,-43.1696820259094,-43.1696820259094,,no
819.0,610.273,84,84,1.475,-22.5063598048546,-22.5063598048546,-43.1796088814735,-43.1796088814735,,no
828.0,3474.452,85,85,0.461,-22.5118458198922,-22.5118458198922,-43.1797808145614,-43.1797808145614,,no
844.0,3529.011,86,86,-0.51,-22.5328338879334,-22.5328338879334,-43.2048404216766,-43.2048404216766,,no
826.0,1383.09,87,87,3.254,-22.511897854223,-22.511897854223,-43.1790187545903,-43.1790187545903,,no
871.0,1536.436,88,88,-2.734,-22.5166328963379,-22.5166328963379,-43.1914696097374,-43.1914696097374,,no
829.0,267.129,89,89,-1.872,-22.5113150048608,-22.5113150048608,-43.1776642799377,-43.1776642799377,,no
824.0,836.277,90,90,-0.598,-22.509501776867,-22.509501776867,-43.1759583950043,-43.1759583950043,,no
819.0,660.967,91,91,0.605,-22.5050489768133,-22.5050489768133,-43.1825190782547,-43.1825190782547,,no
823.0,1636.915,92,92,0.367,-22.5072518288269,-22.5072518288269,-43.1884952086939,-43.1884952086939,,no
829.0,1734.403,93,93,2.306,-22.5087600024232,-22.5087600024232,-43.172644091988,-43.172644091988,,no
869.0,2095.121,94,94,-1.909,-22.5134811752098,-22.5134811752098,-43.1887364387512,-43.1887364387512,,no
829.0,941.639,95,95,2.336,-22.5085948742943,-22.5085948742943,-43.1690382957459,-43.1690382957459,,no
851.0,393.156,96,96,-6.868,-22.5146603046049,-22.5146603046049,-43.1754353642464,-43.1754353642464,,no
824.0,546.757,97,97,2.378,-22.5124231252048,-22.5124231252048,-43.1724715232849,-43.1724715232849,,no
837.0,975.774,98,98,-1.64,-22.5126932336901,-22.5126932336901,-43.1777862038803,-43.1777862038803,,no
821.0,1011.889,99,99,0.099,-22.5072741353103,-22.5072741353103,-43.1852576136589,-43.1852576136589,,no
822.0,321.689,100,100,2.176,-22.5093679719435,-22.5093679719435,-43.1756713986397,-43.1756713986397,,no
829.0,1659.036,101,101,-0.362,-22.5112288390003,-22.5112288390003,-43.178069203499,-43.178069203499,,no
823.0,1467.184,102,102,1.363,-22.5069222924725,-22.5069222924725,-43.1935322264896,-43.1935322264896,,no
843.0,845.472,103,103,-2.957,-22.5165808637895,-22.5165808637895,-43.1838011741638,-43.1838011741638,,no
818.0,1353.743,104,104,0.591,-22.5091201847062,-22.5091201847062,-43.182213306427,-43.182213306427,,no
826.0,449.76,105,105,-0.445,-22.5094918653956,-22.5094918653956,-43.1953856348991,-43.1953856348991,,no
824.0,2405.003,106,106,0.499,-22.507514512646,-22.507514512646,-43.191566169351,-43.191566169351,,no
836.0,3120.905,107,107,-0.288,-22.5287212007062,-22.5287212007062,-43.1961688399315,-43.1961688399315,,no
827.0,88.127,108,,3.404,-22.5123042168947,-22.5123042168947,-43.1715247035027,-43.1715247035027,1-80,geometria
830.0,89.545,109,,-3.35,-22.5118036968481,-22.5118036968481,-43.170859515667,-43.170859515667,1-80,geometria
827.0,100.008,110,,1.0,-22.5109984008906,-22.5109984008906,-43.1708568334579,-43.1708568334579,1-80,geometria
828.0,91.933,111,,0.0,-22.5105647780475,-22.5105647780475,-43.1700038909912,-43.1700038909912,1-80,geometria
828.0,88.822,112,,3.378,-22.5098313328857,-22.5098313328857,-43.1695908308029,-43.1695908308029,1-80,geometria
831.0,1375.426,113,,-0.436,-22.5090879723327,-22.5090879723327,-43.1692743301392,-43.1692743301392,1-80,geometria
825.0,107.193,114,,0.933,-22.5045385186758,-22.5045385186758,-43.1817251443863,-43.1817251443863,3-77,geometria
826.0,222.116,115,,-0.9,-22.505202609476,-22.505202609476,-43.1809687614441,-43.1809687614441,3-77,geometria
824.0,62.135,116,,-6.438,-22.5037802618479,-22.5037802618479,-43.1824868917465,-43.1824868917465,3-22,geometria
820.0,54.05,117,,-1.85,-22.5043353260774,-22.5043353260774,-43.1825566291809,-43.1825566291809,3-22,geometria
819.0,349.313,118,,0.859,-22.5047119755358,-22.5047119755358,-43.1828892230988,-43.1828892230988,3-22,geometria
822.0,327.911,119,,1.22,-22.5052371857166,-22.5052371857166,-43.1795366872048,-43.1795366872048,4-77,geometria
826.0,288.883,120,,3.115,-22.5043749734371,-22.5043749734371,-43.1764841079712,-43.1764841079712,4-79,geometria
835.0,323.565,121,,1.545,-22.503626627605,-22.503626627605,-43.1737911701202,-43.1737911701202,4-79,geometria
840.0,1928.957,122,,-1.037,-22.5027841142066,-22.5027841142066,-43.1707763671875,-43.1707763671875,4-79,geometria
820.0,71.624,123,,0.0,-22.5039809772952,-22.5039809772952,-43.1895089149475,-43.1895089149475,6-13,geometria
820.0,1504.77,124,,2.99,-22.5040776179622,-22.5040776179622,-43.1901982426643,-43.1901982426643,6-13,geometria
865.0,210.038,125,,-2.857,-22.5175620456895,-22.5175620456895,-43.1914347410202,-43.1914347410202,7-88,geometria
859.0,192.934,126,,1.037,-22.5189792961361,-22.5189792961361,-43.1927865743637,-43.1927865743637,7-35,geometria
861.0,143.417,127,,-1.395,-22.5189297421944,-22.5189297421944,-43.1909090260357,-43.1909090260357,7-31,geometria
